breed,temperament,group,shedding_category,grooming_frequency_category,energy_level_category,trainability_category,demeanor_category
Affenpinscher,"Confident, Famously Funny, Fearless",Toy Group,Seasonal,2-3 Times a Week Brushing,Regular Exercise,Easy Training,Outgoing
Afghan Hound,"Dignified, Profoundly Loyal, Aristocratic",Hound Group,Infrequent,Daily Brushing,Energetic,May be Stubborn,Aloof/Wary
Airedale Terrier,"Friendly, Clever, Courageous",Terrier Group,Occasional,2-3 Times a Week Brushing,Regular Exercise,Eager to Please,Friendly
Akita,"Courageous, Dignified, Profoundly Loyal",Working Group,Seasonal,Daily Brushing,Energetic,Eager to Please,Alert/Responsive
Alaskan Malamute,"Affectionate, Loyal, Playful",Working Group,Seasonal,2-3 Times a Week Brushing,Energetic,Independent,Friendly
American Bulldog,"Loyal, Self-Confident",Foundation Stock Service,Seasonal,Occasional Bath/Brush,Energetic,Agreeable,Alert/Responsive
American English Coonhound,"Sweet, Mellow, Sociable",Hound Group,Occasional,Occasional Bath/Brush,Energetic,Agreeable,Alert/Responsive
American Eskimo Dog,"Playful, Perky, Smart",Non-Sporting Group,Seasonal,Weekly Brushing,Energetic,Eager to Please,Outgoing
American Foxhound,"Independent, Easy-Going, Sweet-Tempered",Hound Group,Seasonal,Occasional Bath/Brush,Energetic,Independent,Friendly
American Hairless Terrier,"Energetic, Alert, Curious",Terrier Group,,,,,
American Leopard Hound,"Sociable, Energetic, Intelligent",Foundation Stock Service,Seasonal,Weekly Brushing,Energetic,Eager to Please,Alert/Responsive
American Staffordshire Terrier,"Confident, Smart, Good-Natured",Terrier Group,Occasional,Occasional Bath/Brush,Regular Exercise,Agreeable,Alert/Responsive
American Water Spaniel,"Eager, Happy, Charming",Sporting Group,Infrequent,2-3 Times a Week Brushing,Regular Exercise,Eager to Please,Friendly
Anatolian Shepherd Dog,"Loyal, Independent, Reserved",Working Group,Seasonal,Weekly Brushing,Regular Exercise,Independent,Reserved with Strangers
Appenzeller Sennenhund,"Agile, Versatile, Lively",Foundation Stock Service,Regularly,Weekly Brushing,Needs Lots of Activity,May be Stubborn,Reserved with Strangers
Australian Cattle Dog,"Alert, Curious, Pleasant",Herding Group,Regularly,Occasional Bath/Brush,Needs Lots of Activity,May be Stubborn,Reserved with Strangers
Australian Kelpie,"Loyal, Alert, Intelligent",Foundation Stock Service,Regularly,Weekly Brushing,Energetic,Eager to Please,Alert/Responsive
Australian Shepherd,"Smart, Work-Oriented, Exuberant",Herding Group,Seasonal,Weekly Brushing,Energetic,Eager to Please,Alert/Responsive
Australian Stumpy Tail Cattle Dog,"Alert, Trainable, Comical",Foundation Stock Service,Occasional,Weekly Brushing,Energetic,Easy Training,Alert/Responsive
Australian Terrier,"Affectionate, Courageous, Spirited",Terrier Group,Infrequent,Weekly Brushing,Energetic,Agreeable,Friendly
Azawakh,"Loyal, Independent, Deeply Affectionate",Hound Group,Occasional,Weekly Brushing,Regular Exercise,Independent,Friendly
Barbet,"Friendly, Bright, Sweet-Natured",Sporting Group,Infrequent,Weekly Brushing,Regular Exercise,Agreeable,Friendly
Basenji,"Independent, Smart, Poised",Hound Group,Occasional,Occasional Bath/Brush,Energetic,Independent,Reserved with Strangers
Basset Fauve de Bretagne,"Smart, Cheerful, Determined",Foundation Stock Service,Seasonal,Weekly Brushing,Regular Exercise,May be Stubborn,Outgoing
Basset Hound,"Charming, Patient, Low-Key",Hound Group,Occasional,2-3 Times a Week Brushing,Couch Potato,Independent,Friendly
Bavarian Mountain Scent Hound,"Loyal, Versatile, Reserved with Strangers",Foundation Stock Service,Regularly,Weekly Brushing,Regular Exercise,Agreeable,Reserved with Strangers
Beagle,"Friendly, Curious, Merry",Hound Group,Seasonal,2-3 Times a Week Brushing,Energetic,Agreeable,Friendly
Bearded Collie,"Smart, Bouncy, Charismatic",Herding Group,Seasonal,Daily Brushing,Regular Exercise,Independent,Outgoing
Beauceron,"Gentle, Faithful, Obedient",Herding Group,Frequent,2-3 Times a Week Brushing,Needs Lots of Activity,Easy Training,Reserved with Strangers
Bedlington Terrier,"Loyal, Charming, Frollicking",Terrier Group,,2-3 Times a Week Brushing,Energetic,Agreeable,Alert/Responsive
Belgian Laekenois,"Affectionate, Alert, Intelligent",Miscellaneous Class,Regularly,Weekly Brushing,Energetic,Easy Training,Reserved with Strangers
Belgian Malinois,"Confident, Smart, Hardworking",Herding Group,Seasonal,Weekly Brushing,Energetic,Easy Training,Reserved with Strangers
Belgian Sheepdog,"Bright, Watchful, Serious-Minded",Herding Group,Seasonal,2-3 Times a Week Brushing,Energetic,Easy Training,Reserved with Strangers
Belgian Tervuren,"Courageous, Alert, Intelligent",Herding Group,Seasonal,2-3 Times a Week Brushing,Energetic,Easy Training,Reserved with Strangers
Bergamasco Sheepdog,"Independent, Sociable, Intelligent",Herding Group,Infrequent,Occasional Bath/Brush,Calm,Agreeable,Reserved with Strangers
Berger Picard,"Loyal, Good-Natured, Observant",Herding Group,Seasonal,Occasional Bath/Brush,Needs Lots of Activity,Easy Training,Alert/Responsive
Bernese Mountain Dog,"Good-Natured, Calm, Strong",Working Group,Frequent,2-3 Times a Week Brushing,Energetic,Easy Training,Reserved with Strangers
Bichon Frise,"Playful, Curious, Peppy",Non-Sporting Group,Infrequent,Specialty/Professional,Regular Exercise,Agreeable,Outgoing
Biewer Terrier,"Intelligent, Devoted, Amusing",Miscellaneous Class,,2-3 Times a Week Brushing,Calm,Eager to Please,Outgoing
Black and Tan Coonhound,"Easy-Going, Bright, Brave",Hound Group,Seasonal,Weekly Brushing,Regular Exercise,Independent,Friendly
Black Russian Terrier,"Intelligent, Calm, Powerful",Working Group,Seasonal,Daily Brushing,Energetic,Easy Training,Reserved with Strangers
Bloodhound,"Friendly, Independent, Inquisitive",Hound Group,Seasonal,Weekly Brushing,Regular Exercise,Independent,Alert/Responsive
Bluetick Coonhound,"Smart, Devoted, Tenacious",Hound Group,Seasonal,Weekly Brushing,Energetic,Agreeable,Friendly
Boerboel,"Confident, Intelligent, Calm",Working Group,Occasional,Occasional Bath/Brush,Calm,Agreeable,Reserved with Strangers
Bohemian Shepherd,"Friendly, Devoted, Alert and Intelligent",Foundation Stock Service,Occasional,Occasional Bath/Brush,Regular Exercise,Easy Training,Alert/Responsive
Bolognese,"Playful, Easy-Going, Devoted",Foundation Stock Service,Infrequent,2-3 Times a Week Brushing,Calm,Agreeable,Friendly
Border Collie,"Affectionate, Smart, Energetic",Herding Group,Seasonal,2-3 Times a Week Brushing,Needs Lots of Activity,Eager to Please,Reserved with Strangers
Border Terrier,"Affectionate, Happy, Plucky",Terrier Group,Occasional,Weekly Brushing,Regular Exercise,Easy Training,Friendly
Borzoi,"Affectionate, Loyal, Regally Dignified",Hound Group,Seasonal,Weekly Brushing,Energetic,Independent,Alert/Responsive
Boston Terrier,"Friendly, Bright, Amusing",Non-Sporting Group,Infrequent,Weekly Brushing,Regular Exercise,Eager to Please,Outgoing
Bouvier des Flandres,"Affectionate, Courageous, Strong-Willed",Herding Group,Seasonal,Daily Brushing,Energetic,Agreeable,Alert/Responsive
Boxer,"Bright, Fun-Loving, Active",Working Group,Occasional,Weekly Brushing,Energetic,Easy Training,Outgoing
Boykin Spaniel,"Friendly, Eager, Lovable",Sporting Group,Seasonal,2-3 Times a Week Brushing,Regular Exercise,Eager to Please,Alert/Responsive
Bracco Italiano,"Affectionate, Intelligent, Enthusiastic",Miscellaneous Class,Occasional,Occasional Bath/Brush,Energetic,Easy Training,Alert/Responsive
Braque du Bourbonnais,"Affectionate, Adaptable, Gentle",Foundation Stock Service,,Occasional Bath/Brush,Regular Exercise,Eager to Please,Alert/Responsive
Braque Francais Pyrenean,"Friendly, Smart, Willing to Please",Foundation Stock Service,Seasonal,Occasional Bath/Brush,Needs Lots of Activity,,
Briard,"Confident, Smart, Faithful",Herding Group,Infrequent,Daily Brushing,Regular Exercise,Independent,Reserved with Strangers
Brittany,"Bright, Fun-Loving, Upbeat",Sporting Group,Seasonal,2-3 Times a Week Brushing,Needs Lots of Activity,Eager to Please,Friendly
Broholmer,"Friendly, Watchful, Loving",Foundation Stock Service,Seasonal,Occasional Bath/Brush,Calm,,
Brussels Griffon,"Loyal, Alert, Curious",Toy Group,Seasonal,2-3 Times a Week Brushing,Regular Exercise,Agreeable,Friendly
Bull Terrier,"Playful, Charming, Mischievous",Terrier Group,Seasonal,Weekly Brushing,Energetic,Independent,Friendly
Bulldog,"Friendly, Courageous, Calm",Non-Sporting Group,Regularly,2-3 Times a Week Brushing,Regular Exercise,Agreeable,Friendly
Bullmastiff,"Affectionate, Loyal, Brave",Working Group,Seasonal,Occasional Bath/Brush,Energetic,Agreeable,Alert/Responsive
Cairn Terrier,"Alert, Cheerful, Busy",Terrier Group,Occasional,Weekly Brushing,Regular Exercise,Agreeable,Friendly
Canaan Dog,"Confident, Alert, Vigilant",Herding Group,Frequent,Weekly Brushing,Regular Exercise,Independent,Reserved with Strangers
Cane Corso,"Affectionate, Intelligent, Majestic",Working Group,Occasional,Occasional Bath/Brush,Energetic,Agreeable,Alert/Responsive
Cardigan Welsh Corgi,"Affectionate, Loyal, Smart",Herding Group,Seasonal,Weekly Brushing,Energetic,Agreeable,Alert/Responsive
Carolina Dog,"Loyal, Independent, Reserved with Strangers",Foundation Stock Service,Seasonal,Occasional Bath/Brush,Regular Exercise,Eager to Please,Alert/Responsive
Catahoula Leopard Dog,"Loyal, Independent, Watchful",Foundation Stock Service,,,Needs Lots of Activity,Independent,Reserved with Strangers
Caucasian Shepherd Dog,"Fearless, Bold, Kind",Foundation Stock Service,Regularly,2-3 Times a Week Brushing,Calm,Independent,Aloof/Wary
Cavalier King Charles Spaniel,"Affectionate, Gentle, Graceful",Toy Group,Occasional,Weekly Brushing,Calm,Eager to Please,Friendly
Central Asian Shepherd Dog,"Independent, Courageous, Self-Confident",Foundation Stock Service,Seasonal,Occasional Bath/Brush,Calm,Independent,Aloof/Wary
Cesky Terrier,"Clever, Adventurous, Family-Oriented",Terrier Group,Occasional,Weekly Brushing,Regular Exercise,Agreeable,Reserved with Strangers
Chesapeake Bay Retriever,"Affectionate, Bright, Sensitive",Sporting Group,Regularly,2-3 Times a Week Brushing,Energetic,Agreeable,Reserved with Strangers
Chihuahua,"Charming, Graceful, Sassy",Toy Group,Occasional,Occasional Bath/Brush,Regular Exercise,Independent,Alert/Responsive
Chinese Crested,"Affectionate, Alert, Lively",Toy Group,Infrequent,Occasional Bath/Brush,Regular Exercise,Agreeable,Friendly
Chinese Shar-Pei,"Loyal, Independent, Calm",Non-Sporting Group,Regularly,Occasional Bath/Brush,Regular Exercise,May be Stubborn,Reserved with Strangers
Chinook,"Smart, Patient, Devoted",Working Group,Seasonal,Weekly Brushing,Energetic,Eager to Please,Friendly
Chow Chow,"Dignified, Bright, Serious-Minded",Non-Sporting Group,Seasonal,2-3 Times a Week Brushing,Regular Exercise,May be Stubborn,Reserved with Strangers
Cirneco dell’Etna,"Affectionate, Friendly, Independent",Hound Group,Infrequent,Occasional Bath/Brush,Regular Exercise,Agreeable,Alert/Responsive
Clumber Spaniel,"Mellow, Amusing, Gentlemanly",Sporting Group,Regularly,Weekly Brushing,Regular Exercise,Agreeable,Reserved with Strangers
Cocker Spaniel,"Gentle, Smart, Happy",Sporting Group,Occasional,Daily Brushing,Regular Exercise,Eager to Please,Outgoing
Collie,"Devoted, Graceful, Proud",Herding Group,Seasonal,2-3 Times a Week Brushing,Regular Exercise,Easy Training,Friendly
Coton de Tulear,"Charming, Bright, Happy-Go-Lucky",Non-Sporting Group,Occasional,Daily Brushing,Regular Exercise,Easy Training,Outgoing
Croatian Sheepdog,"Loyal, Active, Alert and Intelligent",Foundation Stock Service,Occasional,Occasional Bath/Brush,Needs Lots of Activity,Eager to Please,Reserved with Strangers
Curly-Coated Retriever,"Confident, Proud, Wickedly Smart",Sporting Group,Occasional,Occasional Bath/Brush,Energetic,Independent,Reserved with Strangers
Czechoslovakian Vlcak,"Loyal, Intelligent, Active",Foundation Stock Service,Frequent,Weekly Brushing,Needs Lots of Activity,May be Stubborn,Aloof/Wary
Dachshund,"Friendly, Curious, Spunky",Hound Group,Occasional,Weekly Brushing,Regular Exercise,Agreeable,Alert/Responsive
Dalmatian,"Dignified, Smart, Outgoing",Non-Sporting Group,Frequent,Weekly Brushing,Energetic,Agreeable,Alert/Responsive
Dandie Dinmont Terrier,"Independent, Smart, Proud",Terrier Group,Infrequent,Daily Brushing,Regular Exercise,Independent,Reserved with Strangers
Danish-Swedish Farmdog,"Energetic, Trainable, Attentive",Foundation Stock Service,Occasional,Occasional Bath/Brush,Energetic,,
Deutscher Wachtelhund,"Friendly, Versatile, Determined",Foundation Stock Service,,Weekly Brushing,Regular Exercise,,
Doberman Pinscher,"Loyal, Fearless, Alert",Working Group,Regularly,Occasional Bath/Brush,Needs Lots of Activity,Eager to Please,Alert/Responsive
Dogo Argentino,"Friendly, Cheerful, Humble",Working Group,Infrequent,Occasional Bath/Brush,Needs Lots of Activity,,
Dogue de Bordeaux,"Affectionate, Loyal, Courageous",Working Group,Regularly,Occasional Bath/Brush,Regular Exercise,Agreeable,Alert/Responsive
Drentsche Patrijshond,"Loyal, Intelligent, Sensitive",Foundation Stock Service,Regularly,Weekly Brushing,Energetic,Agreeable,Reserved with Strangers
Drever,"Loyal, Even-Tempered, Determined",Foundation Stock Service,Occasional,Occasional Bath/Brush,Regular Exercise,May be Stubborn,Alert/Responsive
Dutch Shepherd,"Intelligent, Lively, Athletic",Miscellaneous Class,Seasonal,Weekly Brushing,Needs Lots of Activity,Agreeable,Alert/Responsive
English Cocker Spaniel,"Energetic, Merry, Responsive",Sporting Group,Occasional,2-3 Times a Week Brushing,Regular Exercise,Eager to Please,Friendly
English Foxhound,"Affectionate, Gentle, Sociable",Hound Group,Regularly,Occasional Bath/Brush,Energetic,Agreeable,Friendly
English Setter,"Friendly, Mellow, Merry",Sporting Group,Regularly,2-3 Times a Week Brushing,Energetic,Easy Training,Friendly
English Springer Spaniel,"Friendly, Playful, Obedient",Sporting Group,Occasional,Weekly Brushing,Regular Exercise,Eager to Please,Friendly
English Toy Spaniel,"Gentle, Playful, Intelligent",Toy Group,Seasonal,2-3 Times a Week Brushing,Regular Exercise,Independent,Alert/Responsive
Entlebucher Mountain Dog,"Loyal, Smart, Enthusiastic",Herding Group,Infrequent,Occasional Bath/Brush,Needs Lots of Activity,Independent,Reserved with Strangers
Estrela Mountain Dog,"Alert, Intelligent, Brave",Foundation Stock Service,Seasonal,Weekly Brushing,Calm,,
Eurasier,"Confident, Calm, Family-Oriented",Foundation Stock Service,Seasonal,2-3 Times a Week Brushing,Regular Exercise,Agreeable,Reserved with Strangers
Field Spaniel,"Sweet, Fun-Loving, Sensitive",Sporting Group,Regularly,Weekly Brushing,Regular Exercise,Agreeable,Reserved with Strangers
Finnish Lapphund,"Friendly, Alert, Agile",Herding Group,Seasonal,Weekly Brushing,Regular Exercise,Eager to Please,Reserved with Strangers
Finnish Spitz,"Friendly, Good-Natured, Lively",Non-Sporting Group,Seasonal,Weekly Brushing,Needs Lots of Activity,Agreeable,Friendly
Flat-Coated Retriever,"Cheerful, Optimistic, Good-Humored",Sporting Group,Regularly,Weekly Brushing,Needs Lots of Activity,Eager to Please,Friendly
French Bulldog,"Adaptable, Playful, Smart",Non-Sporting Group,Regularly,Occasional Bath/Brush,Calm,Agreeable,Alert/Responsive
French Spaniel,"Gentle, Sociable, Intelligent",Foundation Stock Service,,,,,
German Longhaired Pointer,"Versatile, Calm, Family-Oriented",Foundation Stock Service,,Occasional Bath/Brush,Energetic,Eager to Please,Friendly
German Pinscher,"Courageous, Intelligent, Vivacious",Working Group,Occasional,Occasional Bath/Brush,Needs Lots of Activity,Agreeable,Alert/Responsive
German Shepherd Dog,"Confident, Courageous, Smart",Herding Group,Regularly,Weekly Brushing,Regular Exercise,Eager to Please,Alert/Responsive
German Shorthaired Pointer,"Friendly, Smart, Willing to Please",Sporting Group,Regularly,Weekly Brushing,Needs Lots of Activity,Eager to Please,Friendly
German Spitz,"Devoted, Lively, Attentive",Foundation Stock Service,Seasonal,2-3 Times a Week Brushing,Regular Exercise,Eager to Please,Reserved with Strangers
German Wirehaired Pointer,"Affectionate, Eager, Enthusiastic",Sporting Group,Regularly,Weekly Brushing,Needs Lots of Activity,Eager to Please,Reserved with Strangers
Giant Schnauzer,"Loyal, Alert, Trainable",Working Group,,Daily Brushing,Needs Lots of Activity,Easy Training,Alert/Responsive
Glen of Imaal Terrier,"Gentle, Spirited, Bold",Terrier Group,Occasional,2-3 Times a Week Brushing,Regular Exercise,Independent,Alert/Responsive
Golden Retriever,"Friendly, Intelligent, Devoted",Sporting Group,Seasonal,Weekly Brushing,Needs Lots of Activity,Eager to Please,Friendly
Gordon Setter,"Affectionate, Confident, Bold",Sporting Group,Seasonal,Weekly Brushing,Needs Lots of Activity,Independent,Reserved with Strangers
Grand Basset Griffon Vendéen,"Independent, Happy, Outgoing",Hound Group,Seasonal,Weekly Brushing,Needs Lots of Activity,Independent,Friendly
Great Dane,"Friendly, Patient, Dependable",Working Group,Seasonal,Occasional Bath/Brush,Energetic,Agreeable,Alert/Responsive
Great Pyrenees,"Smart, Patient, Calm",Working Group,Seasonal,Weekly Brushing,Needs Lots of Activity,Independent,Reserved with Strangers
Greater Swiss Mountain Dog,"Faithful, Family-Oriented, Dependable",Working Group,Seasonal,Weekly Brushing,Energetic,Agreeable,Alert/Responsive
Greyhound,"Gentle, Independent, Noble",Hound Group,Occasional,Occasional Bath/Brush,Energetic,Independent,Friendly
Hamiltonstovare,"Agile, Versatile, Regal",Foundation Stock Service,Infrequent,Occasional Bath/Brush,Energetic,Agreeable,Friendly
Hanoverian Scenthound,"Loyal, Independent, Calm",Foundation Stock Service,Infrequent,Occasional Bath/Brush,Regular Exercise,Independent,Reserved with Strangers
Harrier,"Friendly, Outgoing, People-Oriented",Hound Group,Occasional,Weekly Brushing,Needs Lots of Activity,Easy Training,Friendly
Havanese,"Intelligent, Outgoing, Funny",Toy Group,Occasional,2-3 Times a Week Brushing,Regular Exercise,Easy Training,Outgoing
Hokkaido,"Dignified, Alert, Devoted",Foundation Stock Service,Seasonal,Weekly Brushing,Energetic,,
Hovawart,"Alert, Faithful, Intelligent",Foundation Stock Service,Seasonal,Occasional Bath/Brush,Regular Exercise,May be Stubborn,Reserved with Strangers
Ibizan Hound,"Family-Oriented, Even-Tempered, Polite",Hound Group,Occasional,Occasional Bath/Brush,Needs Lots of Activity,Independent,Reserved with Strangers
Icelandic Sheepdog,"Friendly, Playful, Inquisitive",Herding Group,Seasonal,Weekly Brushing,Energetic,Eager to Please,Friendly
Irish Red and White Setter,"Courageous, Spirited, Determined",Sporting Group,,Weekly Brushing,Needs Lots of Activity,Easy Training,Friendly
